drug_name,side_effects,medical_condition,rating
Abilify,"hives  difficult breathing swelling of your face, lips, tongue, or throat tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself call your doctor at once if you have severe agitation , distress, or restless feeling twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs masklike appearance of the face, trouble swallowing, problems with speech seizure convulsions severe nervous system reaction  very stiff rigid muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out low blood cell counts  fever, chills, sore throat , weakness, easy bruising, unusual bleeding, purple or red spots under your skin or high blood sugar  increased thirst, increased urination, dry mouth, fruity breath odor you may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine talk with your doctor if this occurs common abilify side effects may include blurred vision increased saliva or drooling  muscle stiffness uncontrolled muscle movements, shaking, anxiety, feeling restless weight gain nausea , vomiting, constipation  increased or decreased appetite headache , dizziness, drowsiness, feeling tired sleep problems  insomnia  or cold symptoms such as stuffy nose, sneezing, sore throat",Bipolar Disorder,5.5
Abilify Maintena,"abilify maintena may cause serious side effects, including see important information above stroke cerebrovascular problems in elderly people with dementiarelated psychosis that can lead to death neuroleptic malignant syndrome nms, a serious condition that can lead to death call your healthcare provider or go to the nearest emergency room right away if you have some or all of the following symptoms of nms high fever confusion changes in pulse, heart rate, and blood pressure stiff muscles sweating uncontrolled body movements tardive dyskinesia this medication may cause movements that you cannot control in your face, tongue, or other body parts tardive dyskinesia may not go away, even if you stop receiving abilify maintena tardive dyskinesia may also start after you stop receiving this medication problems with your metabolism such as high blood sugar hyperglycemia increases in blood sugar can happen in some people who receive this medication extremely high blood sugar can lead to coma or death if you have diabetes or risk factors for diabetes such as being overweight or a family history of diabetes, your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment call your healthcare provider if you have any of these symptoms of high blood sugar while receiving abilify maintena feel very thirsty need to urinate more than usual feel very hungry feel weak or tired feel sick to your stomach feel confused, or your breath smells fruity increased fat levels cholesterol and triglycerides in your blood weight gain you and your healthcare provider should check your weight regularly unusual urges some people receiving this medication have had unusual urges such as gambling, binge eating or eating that you cannot control compulsive, compulsive shopping and sexual urges if you or your family members notice that you are having unusual urges or behaviors, talk to your healthcare provider decreased blood pressure orthostatic hypotension you may feel lightheaded or faint when you rise too quickly from a sitting or lying position low white blood cell count seizures convulsions problems controlling your body temperature so that you feel too warm see what should i avoid while receiving abilify maintena difficulty swallowing the most common side effects of abilify maintena include weight gain inner sense of restlessness such as feeling like you need to move akathisia injection site pain sleepiness sedation these are not all the possible side effects call your doctor for medical advice about side effects you may report side effects to fda at 1800fda1088 abilify maintena side effects",Bipolar Disorder,5.8
Abreva,"hives  feeling lightheaded wheezing, difficult breathing swelling of your face, lips, tongue, or throat less serious side effects may be more likely, and you may have none at all",Herpes,4.5
Absorica,"problems with your vision or hearing muscle or joint pain, bone pain, back pain increased thirst, increased urination hallucinations, see or hearing things that are not real symptoms of depressionunusual mood changes, crying spells, feelings of low selfworth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself signs of liver or pancreas problemsloss of appetite, upper stomach pain that may spread to your back, nausea or vomiting, fast heart rate , dark urine, jaundice yellowing of the skin or eyes severe stomach problemssevere stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools or increased pressure inside the skullsevere headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes common side effects of absorica may include dryness of your skin, lips, eyes, or nose you may have nosebleeds  vision problems headache, back pain , joint pain, muscle problems skin reactions or cold symptoms such as stuffy nose, sneezing, sore throat",Acne,6.6
Acanya,"hives difficulty breathing swelling of your face, lips, tongue, or throat stop using acanya and call your doctor at once if you have any of these serious side effects severe redness, burning, stinging, or peeling of treated skin areas or diarrhea that is watery or bloody less serious acanya side effects may include mild burning or stinging itching or tingly feeling dryness or peeling of treated skin or redness or other irritation",Acne,7.3
Accupril,"hives severe stomach pain difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have a lightheaded feeling, like you might pass out fast or pounding heartbeats, fluttering in your chest little or no urination pain or burning when you urinate jaundice yellowing of the skin or eyes numbness, tingling, or burning pain in your hands or feet fever, chills, cold or flu symptoms high potassium  nausea, chest pain, irregular heartbeats, loss of movement or low sodium  headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady common accupril side effects may include headache cough or dizziness, tired feeling",Hypertension,0.0
Accuretic,"a lightheaded feeling, like you might pass out blurred vision, tunnel vision, eye pain , or seeing halos around lights swelling, weight gain, shortness of breath sudden weakness or ill feeling, fever, chills, sore throat, mouth sores, trouble swallowing high potassium nausea , tingly feeling, chest pain, irregular heartbeats, loss of movement low potassium levelleg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling or low levels of sodium headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady common side effects of accuretic may include cough headache, dizziness  tired feeling or muscle pain",Hypertension,4.0
Accutane,"problems with your vision or hearing muscle or joint pain, bone pain, back pain increased thirst, increased urination hallucinations, see or hearing things that are not real symptoms of depression  unusual mood changes, crying spells, feelings of low selfworth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself signs of liver or pancreas problems  loss of appetite, upper stomach pain that may spread to your back, nausea or vomiting, fast heart rate , dark urine, jaundice yellowing of the skin or eyes severe stomach problems  severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools or increased pressure inside the skull  severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes common accutane side effects may include dryness of your skin, lips, eyes, or nose you may have nosebleeds  vision problems headache, back pain , joint pain, muscle problems skin reactions or cold symptoms such as stuffy nose, sneezing, sore throat",Acne,7.9
Aciphex,"hives  difficulty breathing swelling of your face, lips, tongue, or throat call your doctor at once if you have severe stomach pain, diarrhea that is watery or bloody sudden pain or trouble moving your hip, wrist, or back seizure convulsions kidney problems  fever, rash, nausea , loss of appetite, joint pain, urinating less than usual, blood in your urine, swelling, rapid weight gain new or worsening symptoms of lupus  joint pain, and a skin rash on your cheeks or arms that worsens in sunlight low magnesium  dizziness , fast or irregular heart rate, tremors shaking or jerking muscle movements, feeling jittery, muscle cramps, muscle spasms in your hands and feet, cough or choking feeling or signs of bleeding if you also take warfarin  headaches, dizziness, weakness pain or swelling bruising, unusual bleeding  nosebleeds , bleeding gums red or pink urine heavy menstrual flow bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds or any bleeding that will not stop taking rabeprazole longterm may cause you to develop stomach growths called fundic gland polyps talk with your doctor about this risk if you use aciphex for longer than 3 years, you could develop a vitamin b12 deficiency talk to your doctor about how to manage this condition if you develop it common aciphex side effects may include infection pain sore throat  headache  nausea, vomiting  gas, diarrhea, constipation  or stomach pain",GERD (Heartburn),9.3
Aclasta,"urinating less than usual or not at all muscle spasms, numb or tingly feeling especially around your mouth fever, chills, body aches, flu symptoms pale skin, easy bruising, unusual weakness or severe joint, bone, or muscle pain less serious aclasta side effects may include cough loss of appetite, nausea, vomiting diarrhea, constipation headache, dizziness, tired feeling low blood pressure, swelling in your legs or feet bone, joint or muscle pain or redness or swelling where the needle was placed",Osteoporosis,4.3
